Call Id,Agent,Date,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,AvgCallDuration(s),MonthName,Time
ID2071,Dan,5-Feb-21,Payment related,N,N,,,,,2,
ID2116,Becky,6-Feb-21,Payment related,N,N,,,,,2,
ID2121,Martha,6-Feb-21,Payment related,N,N,,,,,2,
ID2131,Martha,6-Feb-21,Payment related,N,N,,,,,2,
ID2138,Diane,6-Feb-21,Payment related,N,N,,,,,2,
ID2156,Becky,7-Feb-21,Payment related,N,N,,,,,2,
ID2159,Diane,7-Feb-21,Payment related,N,N,,,,,2,
ID2197,Jim,7-Feb-21,Payment related,N,N,,,,,2,
ID2199,Martha,7-Feb-21,Payment related,N,N,,,,,2,
ID2200,Becky,7-Feb-21,Payment related,N,N,,,,,2,
ID2231,Becky,8-Feb-21,Payment related,N,N,,,,,2,
ID2261,Dan,9-Feb-21,Payment related,N,N,,,,,2,
ID2282,Joe,9-Feb-21,Payment related,N,N,,,,,2,
ID2321,Becky,10-Feb-21,Payment related,N,N,,,,,2,
ID2322,Stewart,10-Feb-21,Payment related,N,N,,,,,2,
ID2367,Becky,11-Feb-21,Payment related,N,N,,,,,2,
ID2387,Diane,11-Feb-21,Payment related,N,N,,,,,2,
ID2389,Becky,11-Feb-21,Payment related,N,N,,,,,2,
ID2394,Dan,11-Feb-21,Payment related,N,N,,,,,2,
ID2395,Stewart,11-Feb-21,Payment related,N,N,,,,,2,
ID2404,Stewart,11-Feb-21,Payment related,N,N,,,,,2,
ID2438,Joe,12-Feb-21,Payment related,N,N,,,,,2,
ID2481,Martha,13-Feb-21,Payment related,N,N,,,,,2,
ID2486,Jim,13-Feb-21,Payment related,N,N,,,,,2,
ID2494,Dan,13-Feb-21,Payment related,N,N,,,,,2,
ID2531,Diane,13-Feb-21,Payment related,N,N,,,,,2,
ID2561,Jim,14-Feb-21,Payment related,N,N,,,,,2,
ID2565,Dan,14-Feb-21,Payment related,N,N,,,,,2,
ID2602,Greg,15-Feb-21,Payment related,N,N,,,,,2,
ID2645,Becky,15-Feb-21,Payment related,N,N,,,,,2,
ID2652,Jim,15-Feb-21,Payment related,N,N,,,,,2,
ID2673,Diane,16-Feb-21,Payment related,N,N,,,,,2,
ID2721,Stewart,17-Feb-21,Payment related,N,N,,,,,2,
ID2727,Jim,17-Feb-21,Payment related,N,N,,,,,2,
ID2761,Diane,17-Feb-21,Payment related,N,N,,,,,2,
ID2789,Joe,18-Feb-21,Payment related,N,N,,,,,2,
ID2797,Jim,18-Feb-21,Payment related,N,N,,,,,2,
ID2815,Jim,18-Feb-21,Payment related,N,N,,,,,2,
ID2819,Jim,18-Feb-21,Payment related,N,N,,,,,2,
ID2828,Joe,19-Feb-21,Payment related,N,N,,,,,2,
ID2835,Dan,19-Feb-21,Payment related,N,N,,,,,2,
ID2844,Martha,19-Feb-21,Payment related,N,N,,,,,2,
ID2863,Diane,19-Feb-21,Payment related,N,N,,,,,2,
ID2969,Greg,21-Feb-21,Payment related,N,N,,,,,2,
ID2975,Stewart,21-Feb-21,Payment related,N,N,,,,,2,
ID3016,Martha,22-Feb-21,Payment related,N,N,,,,,2,
ID3040,Greg,22-Feb-21,Payment related,N,N,,,,,2,
ID3061,Becky,23-Feb-21,Payment related,N,N,,,,,2,
ID3082,Joe,23-Feb-21,Payment related,N,N,,,,,2,
ID3123,Diane,24-Feb-21,Payment related,N,N,,,,,2,
ID3129,Joe,24-Feb-21,Payment related,N,N,,,,,2,
ID3139,Jim,24-Feb-21,Payment related,N,N,,,,,2,
ID3146,Martha,24-Feb-21,Payment related,N,N,,,,,2,
ID3210,Diane,25-Feb-21,Payment related,N,N,,,,,2,
ID3229,Greg,26-Feb-21,Payment related,N,N,,,,,2,
ID3234,Greg,26-Feb-21,Payment related,N,N,,,,,2,
ID3256,Martha,26-Feb-21,Payment related,N,N,,,,,2,
ID3280,Diane,27-Feb-21,Payment related,N,N,,,,,2,
ID3326,Becky,27-Feb-21,Payment related,N,N,,,,,2,
ID3336,Dan,28-Feb-21,Payment related,N,N,,,,,2,
ID3436,Dan,1-Mar-21,Payment related,N,N,,,,,3,
ID3459,Dan,2-Mar-21,Payment related,N,N,,,,,3,
ID3478,Greg,2-Mar-21,Payment related,N,N,,,,,3,
ID3532,Stewart,3-Mar-21,Payment related,N,N,,,,,3,
ID3541,Becky,3-Mar-21,Payment related,N,N,,,,,3,
ID3543,Joe,3-Mar-21,Payment related,N,N,,,,,3,
ID3576,Joe,4-Mar-21,Payment related,N,N,,,,,3,
ID3649,Diane,5-Mar-21,Payment related,N,N,,,,,3,
ID3670,Stewart,5-Mar-21,Payment related,N,N,,,,,3,
ID3698,Martha,6-Mar-21,Payment related,N,N,,,,,3,
ID3716,Martha,6-Mar-21,Payment related,N,N,,,,,3,
ID3750,Greg,6-Mar-21,Payment related,N,N,,,,,3,
ID3754,Jim,7-Mar-21,Payment related,N,N,,,,,3,
ID3771,Becky,7-Mar-21,Payment related,N,N,,,,,3,
ID3872,Diane,9-Mar-21,Payment related,N,N,,,,,3,
ID3884,Diane,9-Mar-21,Payment related,N,N,,,,,3,
ID3904,Martha,10-Mar-21,Payment related,N,N,,,,,3,
ID3913,Joe,10-Mar-21,Payment related,N,N,,,,,3,
ID3919,Jim,10-Mar-21,Payment related,N,N,,,,,3,
ID3964,Greg,11-Mar-21,Payment related,N,N,,,,,3,
ID3993,Diane,11-Mar-21,Payment related,N,N,,,,,3,
ID4021,Joe,11-Mar-21,Payment related,N,N,,,,,3,
ID4034,Greg,12-Mar-21,Payment related,N,N,,,,,3,
ID4048,Becky,12-Mar-21,Payment related,N,N,,,,,3,
ID4138,Jim,14-Mar-21,Payment related,N,N,,,,,3,
ID4190,Jim,15-Mar-21,Payment related,N,N,,,,,3,
ID4198,Stewart,15-Mar-21,Payment related,N,N,,,,,3,
ID4211,Greg,15-Mar-21,Payment related,N,N,,,,,3,
ID4271,Diane,16-Mar-21,Payment related,N,N,,,,,3,
ID4299,Becky,17-Mar-21,Payment related,N,N,,,,,3,
ID4341,Stewart,18-Mar-21,Payment related,N,N,,,,,3,
ID4368,Jim,18-Mar-21,Payment related,N,N,,,,,3,
ID4370,Greg,18-Mar-21,Payment related,N,N,,,,,3,
ID4385,Becky,19-Mar-21,Payment related,N,N,,,,,3,
ID4388,Becky,19-Mar-21,Payment related,N,N,,,,,3,
ID4390,Stewart,19-Mar-21,Payment related,N,N,,,,,3,
ID4397,Jim,19-Mar-21,Payment related,N,N,,,,,3,
ID4408,Diane,19-Mar-21,Payment related,N,N,,,,,3,
ID4417,Stewart,19-Mar-21,Payment related,N,N,,,,,3,
ID4431,Dan,20-Mar-21,Payment related,N,N,,,,,3,
ID4453,Diane,20-Mar-21,Payment related,N,N,,,,,3,
ID4462,Joe,20-Mar-21,Payment related,N,N,,,,,3,
ID4491,Dan,21-Mar-21,Payment related,N,N,,,,,3,
ID4497,Diane,21-Mar-21,Payment related,N,N,,,,,3,
ID4501,Stewart,21-Mar-21,Payment related,N,N,,,,,3,
ID4509,Stewart,21-Mar-21,Payment related,N,N,,,,,3,
ID4536,Becky,21-Mar-21,Payment related,N,N,,,,,3,
ID4539,Diane,22-Mar-21,Payment related,N,N,,,,,3,
ID4588,Dan,22-Mar-21,Payment related,N,N,,,,,3,
ID4630,Joe,23-Mar-21,Payment related,N,N,,,,,3,
ID4635,Joe,23-Mar-21,Payment related,N,N,,,,,3,
ID4649,Dan,24-Mar-21,Payment related,N,N,,,,,3,
ID4673,Stewart,24-Mar-21,Payment related,N,N,,,,,3,
ID4693,Greg,25-Mar-21,Payment related,N,N,,,,,3,
ID4706,Greg,25-Mar-21,Payment related,N,N,,,,,3,
ID4708,Martha,25-Mar-21,Payment related,N,N,,,,,3,
ID4808,Becky,27-Mar-21,Payment related,N,N,,,,,3,
ID4814,Joe,27-Mar-21,Payment related,N,N,,,,,3,
ID4817,Greg,27-Mar-21,Payment related,N,N,,,,,3,
ID4858,Becky,28-Mar-21,Payment related,N,N,,,,,3,
ID4876,Dan,28-Mar-21,Payment related,N,N,,,,,3,
ID4985,Jim,31-Mar-21,Payment related,N,N,,,,,3,
ID4995,Dan,31-Mar-21,Payment related,N,N,,,,,3,
ID0046,Jim,1-Jan-21,Contract related,N,N,,,,,1,
ID0048,Martha,1-Jan-21,Contract related,N,N,,,,,1,
ID0051,Martha,1-Jan-21,Contract related,N,N,,,,,1,
ID0120,Dan,3-Jan-21,Contract related,N,N,,,,,1,
ID0138,Martha,3-Jan-21,Contract related,N,N,,,,,1,
ID0146,Joe,3-Jan-21,Contract related,N,N,,,,,1,
ID0152,Stewart,3-Jan-21,Contract related,N,N,,,,,1,
ID0172,Dan,3-Jan-21,Contract related,N,N,,,,,1,
